Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
80	MeMo001	MeMo_6M_Vehicle_Post-Injection_2	Safflower_oil	CTL	24	34	340.103	6.89	292.013	
81	MeMo002	MeMo_6M_Vehicle_Post-Injection_2	Safflower_oil	CTL	24	34	280.42	2.52	64.883	
82	MeMo003	MeMo_6M_Vehicle_Post-Injection_2	Safflower_oil	CTL	24	34	324.434	0.24	197.502	
83	MeMo024	MeMo_6M_Vehicle_Post-Injection_2	Safflower_oil	CTL	24	34	133.918	2.56	1326.734	
84	MeMo022	MeMo_6M_Vehicle_Post-Injection_2	Safflower_oil	CTL	24	34	85.7	0.24	30.655	
90	MeMo012	MeMo_8M_Vehicle_Post-Injection_2	Safflower_oil	CTL	31	42	308.677	41.2	69.746	
91	MeMo013	MeMo_8M_Vehicle_Post-Injection_2	Safflower_oil	CTL	31	42	272.41	33.07	205.203	
92	MeMo015	MeMo_8M_Vehicle_Post-Injection_2	Safflower_oil	CTL	31	42	93.689	90.34	379.48	
93	MeMo032	MeMo_8M_Vehicle_Post-Injection_2	Safflower_oil	CTL	31	42	217.216	6.12	378.129	
94	MeMo033	MeMo_8M_Vehicle_Post-Injection_2	Safflower_oil	CTL	31	42	184.289	19.54	889.374	
100	MeMo001	MeMo_6M_Vehicle_Post-Injection_3	Safflower_oil	CTL	24	38	149.958	2.56	666.382	
101	MeMo002	MeMo_6M_Vehicle_Post-Injection_3	Safflower_oil	CTL	24	38	169.925	4.3	250.02	
102	MeMo003	MeMo_6M_Vehicle_Post-Injection_3	Safflower_oil	CTL	24	38	254.497	0.24	818.882	
103	MeMo024	MeMo_6M_Vehicle_Post-Injection_3	Safflower_oil	CTL	24	38	123.382	5.09	924.071	
104	MeMo022	MeMo_6M_Vehicle_Post-Injection_3	Safflower_oil	CTL	24	38	19.68	0.24	536.539	
110	MeMo012	MeMo_8M_Vehicle_Post-Injection_3	Safflower_oil	CTL	31	46	147.459	19.7	270.19	
111	MeMo013	MeMo_8M_Vehicle_Post-Injection_3	Safflower_oil	CTL	31	46	212.716	4.82	265.462	
112	MeMo015	MeMo_8M_Vehicle_Post-Injection_3	Safflower_oil	CTL	31	46	283.084	22.85	544.941	
113	MeMo032	MeMo_8M_Vehicle_Post-Injection_3	Safflower_oil	CTL	31	46	79.816	5.77	459.315	
114	MeMo033	MeMo_8M_Vehicle_Post-Injection_3	Safflower_oil	CTL	31	46	252.917	32.31	496.08	
120	MeMo001	MeMo_6M_Vehicle_Post-Injection_4	Safflower_oil	CTL	24	43	245.317	8.95	507.905	
121	MeMo002	MeMo_6M_Vehicle_Post-Injection_4	Safflower_oil	CTL	24	43	77.121	3.64	810.475	
122	MeMo003	MeMo_6M_Vehicle_Post-Injection_4	Safflower_oil	CTL	24	43	153.302	0.24	706.501	
123	MeMo024	MeMo_6M_Vehicle_Post-Injection_4	Safflower_oil	CTL	24	43	63.125	3.73	529.537	
124	MeMo022	MeMo_6M_Vehicle_Post-Injection_4	Safflower_oil	CTL	24	43	2.946	0.24	353.633	
130	MeMo012	MeMo_8M_Vehicle_Post-Injection_4	Safflower_oil	CTL	31	51	79.334	2.33	398.649	
131	MeMo013	MeMo_8M_Vehicle_Post-Injection_4	Safflower_oil	CTL	31	51	138.05	9.29	69.976	
132	MeMo015	MeMo_8M_Vehicle_Post-Injection_4	Safflower_oil	CTL	31	51	188.661	49.18	200.742	
133	MeMo032	MeMo_8M_Vehicle_Post-Injection_4	Safflower_oil	CTL	31	51	63.169	19.52	637.6	
134	MeMo033	MeMo_8M_Vehicle_Post-Injection_4	Safflower_oil	CTL	31	51	92.127	18.54	1485.293	
140	MeMo001	MeMo_6M_Vehicle_Post-Injection_5	Safflower_oil	CTL	24	47	219.535	4.14	161.556	
141	MeMo002	MeMo_6M_Vehicle_Post-Injection_5	Safflower_oil	CTL	24	47	127.935	16.02	198.517	
142	MeMo003	MeMo_6M_Vehicle_Post-Injection_5	Safflower_oil	CTL	24	47	149.377	1.6	711.504	
143	MeMo024	MeMo_6M_Vehicle_Post-Injection_5	Safflower_oil	CTL	24	47	75.631	2.01	972.726	
144	MeMo022	MeMo_6M_Vehicle_Post-Injection_5	Safflower_oil	CTL	24	47	21.471	1.97	280.008	
150	MeMo012	MeMo_8M_Vehicle_Post-Injection_5	Safflower_oil	CTL	31	55	240.841	47.58	876.978	
151	MeMo013	MeMo_8M_Vehicle_Post-Injection_5	Safflower_oil	CTL	31	55	80.201	6.8	272.801	
152	MeMo015	MeMo_8M_Vehicle_Post-Injection_5	Safflower_oil	CTL	31	55	100.159	77.53	303.497	
153	MeMo032	MeMo_8M_Vehicle_Post-Injection_5	Safflower_oil	CTL	31	55	40.045	9.67	212.37	
154	MeMo033	MeMo_8M_Vehicle_Post-Injection_5	Safflower_oil	CTL	31	55	196.484	20.04	920.985	
170	MeMo041	MeMo_3M_Ctrl_Pre-Injection_MeMo041	Untreated	CTL	16	16	79.719	8.48	301.452	
